ID,Site,Start_date,End_date,Midpoint,RoofedArea,Value
1267,Partney bypass,-50,50,0,50.29999924,3.9180050619963493
1268,"Langton Hill, plots 1/5 & 1/6",-100,50,-25,50.29999924,3.9180050619963493
1269,"Langton Hill, plots 1/5 & 1/6",50,200,125,63.59999847,4.152613446289473
1270,"Langton Hill, plots 1/5 & 1/6",-100,50,-25,63.59999847,4.152613446289473
1271,"Langton Hill, plots 1/5 & 1/6",50,200,125,86.59999847,4.461299797900953
1272,Winteringham,50,400,225,278,5.627621113690637
1273,Winteringham,50,400,225,213.3999939,5.363168310282835
1274,"Kirkby la Thorpe, Site 11",200,300,250,132.6999969,4.888090917977197
1275,"Kirkby la Thorpe, Area 90, plot 22/1",100,300,200,100,4.605170185988092
1276,Winterton Villa,130,180,155,237.8000031,5.471429997292846
1277,Winterton Villa,220,375,297.5,594.7000122,6.388057097227093
1278,Winterton Villa,75,400,237.5,30.200000760000002,3.4078419495463868
1279,Winterton Villa,180,400,290,2254.5,7.720683497861139
1280,Winterton Villa,180,400,290,2280.800049,7.732281559082152
1281,Winterton Villa,75,400,237.5,201.3999939,5.305292949996478
1282,Winterton Villa,75,400,237.5,105.6999969,4.660604863547904
1283,Winterton Villa,180,400,290,221.6999969,5.401325102639406
1284,Winterton Villa,150,400,275,196.8000031,5.282188000370185
1285,"The Bridles, St Barnabas Road, Barnetby le Wold",275,400,337.5,83.30000305,4.422448585787442
1286,"The Bridles, St Barnabas Road, Barnetby le Wold",-100,325,112.5,73.90000153,4.3027128486578095
1287,"The Bridles, St Barnabas Road, Barnetby le Wold",250,300,275,50.29999924,3.9180050619963493
1288,"The Bridles, St Barnabas Road, Barnetby le Wold",275,400,337.5,19.60000038,2.9755295856242263
1289,"The Bridles, St Barnabas Road, Barnetby le Wold",0,200,100,70.90000153,4.261270455117772
1290,Goltho,100,150,125,113.0999985,4.728272369859475
1291,Goltho,50,100,75,113.0999985,4.728272369859475
1292,Goltho,150,200,175,113.0999985,4.728272369859475
1293,"Moor Farm, Bucknall",0,100,50,113.0999985,4.728272369859475
1294,"Moor Farm, Bucknall",0,100,50,50.29999924,3.9180050619963493
1295,"Moor Farm, Bucknall",100,400,250,95,4.553876891600541
1296,"East of Ewerby, Plot 135",-50,50,0,36.29999924,3.591817720334166
1297,"East of Ewerby, Plot 135",-50,50,0,26.39999962,3.273363995758331
1298,"East of Ewerby, Plot 135",-50,50,0,98.5,4.590056548178043
1299,"East of Ewerby, Plot 135",-50,50,0,38.5,3.6506582412937387
1300,"West of Ewerby, Plot 139",-50,50,0,91.59999847,4.517431254977028
1301,"West of Ewerby, Plot 139",-50,50,0,153.8999939,5.036303001208705
1302,"South-East of Kirkby la Thorpe, Plot 146",-50,50,0,113.0999985,4.728272369859475
1303,"South-East of Kirkby la Thorpe, Plot 146",-50,50,0,20.39999962,3.0155348822227195
1304,"Pasture Lodge Farm, Long Bennington",50,400,225,119,4.77912349311153
1305,Tallington,50,400,225,134.8000031,4.903792221475239
1306,"Aylesby, South Humberside",-50,43,-3.5,50.29999924,3.9180050619963493
1307,"Aylesby, South Humberside",-50,43,-3.5,50.29999924,3.9180050619963493
1308,"Moor Pool Close, Rampton",1,400,200.5,78.5,4.363098624788363
1309,Broughton Lodge,135,350,242.5,14.399999619999999,2.6672281801930655
1310,Gonalston,-100,200,50,63.59999847,4.152613446289473
1311,Dunston's Clump,-100,100,0,68.30000305,4.223909811232673
1312,Dunston's Clump,-25,300,137.5,38.20000076,3.6428355355078175
1313,Staunton,275,400,337.5,69.40000153,4.239886889558868
1314,Staunton,275,400,337.5,44.20000076,3.7887248062782226
1315,Mansfield Woodhouse,110,125,117.5,17.39999962,2.8564701843814024
1316,Mansfield Woodhouse,180,360,270,471.2000122,6.1552826582287175
1317,Silverstone 3,-100,-50,-75,38.5,3.6506582412937387
1318,Silverstone 3,-100,-50,-75,95,4.553876891600541
1319,Silverstone 3,-100,-50,-75,113.0999985,4.728272369859475
1320,Silverstone 3,-100,-50,-75,113.0999985,4.728272369859475
1321,Silverstone 2,-100,75,-12.5,50.29999924,3.9180050619963493
1322,Rowler Manor,175,575,375,240,5.480638923341991
1323,Rowler Manor,175,575,375,33.79999924,3.5204607800037655
1324,Stanion Roman Villa,100,200,150,396,5.981414211254481
1325,Stanion Roman Villa,25,100,62.5,50.29999924,3.9180050619963493
1326,Stanion Roman Villa,100,200,150,12.600000380000001,2.5336968441161623
1327,West Haddon,100,200,150,50.29999924,3.9180050619963493
1328,West Haddon,100,200,150,24,3.1780538303479458
1329,Deanshanger,140,240,190,88,4.477336814478207
1330,"Glapthorn Road, Oundle",1,100,50.5,95,4.553876891600541
1331,"Glapthorn Road, Oundle",274,400,337,39.90000153,3.6863763622416816
1332,"Lime Street, Irthlingborough",-100,100,0,78.5,4.363098624788363
1333,Potterspury,-50,350,150,56.79999924,4.039536312346824
1334,Potterspury,-50,350,150,37.40000153,3.6216707453295762
1335,Higham Ferrers,300,360,330,58.90000153,4.075841116633772
1336,Great Oakley,75,200,137.5,431.2999878,6.0668038753672215
1337,Cosgrove,150,400,275,192,5.2574953720277815
1338,Cosgrove,100,400,250,307.3999939,5.728149811260644
1339,Great Weldon,70,200,135,202.1999969,5.309257291255016
1340,Great Weldon,70,200,135,54.09999847,3.990834157571474
1341,Great Weldon,200,350,275,378.6000061,5.936480254887214
1342,Great Weldon,200,350,275,170.1999969,5.136974197925408
1343,Silverstone Fields Farm,-100,65,-17.5,95,4.553876891600541
1344,Silverstone Fields Farm,-100,65,-17.5,78.5,4.363098624788363
1345,Silverstone Fields Farm,-100,65,-17.5,54,3.9889840465642745
1346,Ashley,100,400,250,18.89999962,2.9391619019597766
1347,Clay Lane,-100,200,50,100,4.605170185988092
1348,Clay Lane,-100,200,50,90,4.499809670330265
1349,Clay Lane,-100,200,50,320.5,5.7698822763607245
1350,Clay Lane,-100,200,50,165.1000061,5.106551387873386
1351,Clay Lane,-100,200,50,130.5,4.871373226762748
1352,Clay Lane,-100,200,50,50.29999924,3.9180050619963493
1353,Harringworth,100,400,250,347.2000122,5.849901017924443
1354,Mileoak Roman Villa,65,160,112.5,621.7000122,6.432457680898905
1355,"Thrapston Gravel Quarry, Aldwincle",-50,50,0,70.90000153,4.261270455117772
1356,"Thrapston Gravel Quarry, Aldwincle",-50,50,0,80.09999847,4.3832758349731895
1357,"Thrapston Gravel Quarry, Aldwincle",-50,50,0,52.79999924,3.966511176318276
1358,"Thrapston Gravel Quarry, Aldwincle",-50,50,0,95,4.553876891600541
1359,"Thorplands, Northampton",100,275,187.5,35.29999924,3.5638829424095055
1360,"Thorplands, Northampton",270,400,335,33.20000076,3.502549898814009
1361,Overstone,80,150,115,100.3000031,4.608165725875168
1362,Overstone,50,400,225,132.6999969,4.888090917977197
1363,Quinton,270,410,340,52.79999924,3.966511176318276
1364,Quinton,120,170,145,113.5,4.7318028369214575
1365,Quinton,60,80,70,29.10000038,3.370738187235866
1366,"Pineham North, Upton, Settlement 2",-50,400,175,109.4000015,4.695010903699033
1367,"Pineham North, Upton, Settlement 2",-50,400,175,153.8999939,5.036303001208705
1368,"Pineham North, Upton, Settlement 2",-50,400,175,153.8999939,5.036303001208705
1369,A45 Roadside Settlement (between Higham Ferrers and Stanwick),75,400,237.5,136.5,4.916324614625014
1370,"Pineham Barn, Upton",-100,400,150,91.59999847,4.517431254977028
1371,"Iron Age Farmstead, Enclosure 2, Irchester, Victoria Park",-100,100,0,78.5,4.363098624788363
1372,"Towcester, Wood Burcote",130,160,145,111.5,4.7140245909001735
1373,Stanwick,-100,100,0,32.20000076,3.471966476152847
1374,Stanwick,-100,100,0,66.5,4.197201947661808
1375,Stanwick,-100,100,0,81.69999695,4.403053964534255
1376,Stanwick,-100,100,0,45.40000153,3.815512138747742
1377,Stanwick,100,150,125,27,3.295836866004329
1378,Stanwick,-100,100,0,138.8999939,4.933754205843811
1379,Stanwick,-100,100,0,132.6999969,4.888090917977197
1380,Stanwick,150,200,175,10.19999981,2.322387701662774
1381,Stanwick,250,300,275,421.7999878,6.044531239121013
1382,Stanwick,225,275,250,51,3.9318256327243257
1383,Stanwick,225,275,250,23,3.1354942159291497
1384,Stanwick,150,200,175,67.90000153,4.2180360570977875
1385,Stanwick,250,300,275,42.09999847,3.7400477043462925
1386,Stanwick,250,300,275,55.09999847,4.009149688391173
1387,Stanwick,50,100,75,66.5,4.197201947661808
1388,Stanwick,-100,100,0,45.40000153,3.815512138747742
1389,Stanwick,225,275,250,35.29999924,3.5638829424095055
1390,Stanwick,-100,100,0,66.5,4.197201947661808
1391,Stanwick,125,175,150,62.20000076,4.1303550119637835
1392,Stanwick,150,200,175,35.40000153,3.5667118633600667
1393,Stanwick,50,100,75,37.40000153,3.6216707453295762
1394,Stanwick,-100,100,0,32.20000076,3.471966476152847
1395,Stanwick,150,200,175,42,3.7376696182833684
1396,Stanwick,-100,100,0,81.69999695,4.403053964534255
1397,Stanwick,-100,100,0,81.69999695,4.403053964534255
1398,Stanwick,100,150,125,50.29999924,3.9180050619963493
1399,Stanwick,225,275,250,40.70000076,3.7062281111217676
1400,Stanwick,250,300,275,47.79999924,3.8670256235978284
1401,Stanwick,100,150,125,30.10000038,3.404525184379415
1402,Stanwick,225,275,250,43,3.7612001156935624
1403,Stanwick,225,275,250,39.59999847,3.6788290796240704
1404,Stanwick,225,275,250,69.5,4.241326752570746
1405,Stanwick,-100,100,0,115,4.74493212836325
1406,Stanwick,150,200,175,147.3000031,4.99247134451407
1407,Stanwick,100,150,125,39.59999847,3.6788290796240704
1408,Stanwick,-100,100,0,32.20000076,3.471966476152847
1409,Stanwick,150,200,175,60,4.0943445622221
1410,Stanwick,225,275,250,66.5,4.197201947661808
1411,Stanwick,125,175,150,22.10000038,3.095577625718277
1412,Stanwick,100,150,125,37.40000153,3.6216707453295762
1413,Stanwick,-100,100,0,45.40000153,3.815512138747742
1414,Stanwick,-100,100,0,73.90000153,4.3027128486578095
1415,Stanwick,150,200,175,85,4.442651256490317
1416,Stanwick,-100,425,162.5,26.799999239999998,3.2884018591586015
1417,Stanwick,300,400,350,121.5,4.799914262780603
1418,Stanwick,-100,425,162.5,41.29999924,3.72086248156505
1419,Stanwick,120,180,150,26.5,3.2771447329921766
1420,Stanwick,120,180,150,113.0999985,4.728272369859475
1421,Stanwick,120,180,150,20,2.995732273553991
1422,Stanwick,-100,425,162.5,500.7000122,6.216007143701787
1423,Stanwick,200,400,300,15.899999619999999,2.7663190853268143
1424,Grange Park,50,450,250,283.5,5.647212123167807
1425,Grange Park,1,100,50.5,113.0999985,4.728272369859475
1426,Redlands Farm Villa,250,300,275,176.6999969,5.174453361781791
1427,Redlands Farm Villa,250,300,275,70.90000153,4.261270455117772
1428,"Mawsley New Village, Great Cransley, ULAS site",-100,50,-25,46.59999847,3.8416005082989817
1429,"Mawsley New Village, Great Cransley, ULAS site",50,100,75,56.79999924,4.039536312346824
1430,"Mawsley New Village, Great Cransley, ULAS site",-100,50,-25,66.5,4.197201947661808
1431,"Mawsley New Village, Great Cransley, ULAS site",75,150,112.5,69.40000153,4.239886889558868
1432,"Mawsley New Village, Great Cransley, ULAS site",-100,43,-28.5,75.40000153,4.3228072953056875
1433,"Mawsley New Village, Great Cransley, ULAS site",50,100,75,38.5,3.6506582412937387
1434,Stanwick Silt Pond,-100,50,-25,95,4.553876891600541
1435,"Higham Road, Burton Latimer",43,425,234,63.59999847,4.152613446289473
1436,Mallows Cotton,364,395,379.5,75.59999847,4.325456262947392
1437,Moulton Park,-50,50,0,28.299999239999998,3.342861777794068
1438,Moulton Park,-50,50,0,44.20000076,3.7887248062782226
1439,Moulton Park,-50,50,0,78.5,4.363098624788363
1440,Moulton Park,-50,50,0,78.5,4.363098624788363
1441,Moulton Park,-50,50,0,78.5,4.363098624788363
1442,Blackthorn,-50,50,0,51,3.9318256327243257
1443,Higham Ferrers OA,300,400,350,36,3.58351893845611
1444,Higham Ferrers OA,200,300,250,64.40000153,4.165113656868072
1445,Higham Ferrers OA,300,400,350,105,4.653960350157523
1446,Higham Ferrers OA,300,400,350,71.5,4.269697449699962
1447,Higham Ferrers OA,200,400,300,63.09999847,4.14472074529994
1448,Higham Ferrers OA,200,300,250,85.80000305,4.452019042041702
1449,Higham Ferrers OA,200,300,250,50.29999924,3.9180050619963493
1450,Higham Ferrers OA,200,300,250,94.5,4.548599834499697
1451,Higham Ferrers OA,200,300,250,92.40000153,4.52612699520608
1452,Higham Ferrers OA,100,200,150,118.8000031,4.77744143302282
1453,Higham Ferrers OA,100,200,150,78.5,4.363098624788363
1454,Higham Ferrers OA,200,300,250,188.5,5.2390980068880655
1455,Higham Ferrers OA,200,300,250,65,4.174387269895637
1456,Higham Ferrers OA,300,400,350,117,4.762173934797756
1457,Higham Ferrers OA,100,200,150,52.79999924,3.966511176318276
1458,Higham Ferrers OA,200,300,250,70.69999695,4.258445529762498
1459,Higham Ferrers OA,200,300,250,95,4.553876891600541
1460,Higham Ferrers OA,300,400,350,15,2.70805020110221
1461,"Crow Hill, Irthlingborough",-100,400,150,192,5.2574953720277815
1462,A45 Roadside Settlement (Middle Sands Iron Age and Roman settlement),100,400,250,95,4.553876891600541
1463,Woodford Villa,75,150,112.5,12.600000380000001,2.5336968441161623
1464,Wakerley (Britannia site),-50,50,0,113.0999985,4.728272369859475
1465,Wakerley (Britannia site),-50,50,0,38.5,3.6506582412937387
1466,Wakerley (Britannia site),-50,50,0,58.09999847,4.062165637523958
1467,Wakerley (Britannia site),-50,50,0,60.79999924,4.107589776472121
1468,Wakerley (Britannia site),-50,50,0,153.8999939,5.036303001208705
1469,Wakerley (Britannia site),-50,50,0,14.69999981,2.6878474808595203
1470,Ashton,-50,400,175,38.5,3.6506582412937387
1471,North Lodge,175,400,287.5,40.70000076,3.7062281111217676
1472,"Priors Hall, Weldon",-100,400,150,30.200000760000002,3.4078419495463868
1473,"Priors Hall, Weldon",-100,400,150,156.1999969,5.051137217559234
1474,"Main Street, Market Overton, Rutland",-50,400,175,45.5,3.817712325956905
1475,"Main Street, Market Overton, Rutland",-50,400,175,34.79999924,3.549617364941348
1476,"Stapleford Road, Whissendine, Rutland",-200,43,-78.5,50.29999924,3.9180050619963493
1477,"Stapleford Road, Whissendine, Rutland",-200,43,-78.5,176.6999969,5.174453361781791
1478,"Stapleford Road, Whissendine, Rutland",-200,43,-78.5,113.0999985,4.728272369859475
1479,"Stapleford Road, Whissendine, Rutland",-200,43,-78.5,63.59999847,4.152613446289473
1480,Empingham Romano-British Farmstead,350,400,375,12.600000380000001,2.5336968441161623
1481,Empingham Romano-British Farmstead,350,400,375,15,2.70805020110221
1482,Empingham Romano-British Farmstead,350,400,375,279.6000061,5.633360032176536
1483,Empingham Site 4: 'Empingham West' Iron Age and Early Anglo-Saxon Settlement,-100,1,-49.5,156.1999969,5.051137217559234
1484,Empingham Site 4: 'Empingham West' Iron Age and Early Anglo-Saxon Settlement,-100,1,-49.5,78.5,4.363098624788363
1485,Empingham Site 4: 'Empingham West' Iron Age and Early Anglo-Saxon Settlement,-100,1,-49.5,85,4.442651256490317
1486,"The Vale of Catmose College, Oakham, Rutland",-100,375,137.5,322,5.7745515455444085
1487,"The Vale of Catmose College, Oakham, Rutland",-100,375,137.5,75.40000153,4.3228072953056875
1488,"Wilderspool, Warrington",220,250,235,457,6.124683390894205
1489,"Wilderspool, Warrington",250,270,260,115.5,4.749270529961848
1490,"Wilderspool, Warrington",250,270,260,91.30000305,4.5141508210072745
1491,"Wilderspool, Warrington",170,220,195,112.8000031,4.725616366546228
1492,"Wilderspool, Warrington",250,270,260,40.40000153,3.6988298228383907
1493,"Wilderspool, Warrington",250,270,260,30.5,3.417726683613366
1494,"Wilderspool, Warrington",170,220,195,369.7000122,5.912691898942315
1495,"Wilderspool, Warrington",270,320,295,36.90000153,3.608211592509895
1496,"Wilderspool, Warrington",250,270,260,55.09999847,4.009149688391173
1497,"Wilderspool, Warrington",140,170,155,108,4.68213122712422
1498,"Wilderspool, Warrington",250,270,260,46.09999847,3.830812916813882
1499,"Wilderspool, Warrington",140,170,155,346.8999939,5.849036536391385
1500,"Wilderspool, Warrington",90,140,115,133,4.890349128221754
1501,"Wilderspool, Warrington",250,270,260,332.7999878,5.807541672288399
1502,"Wilderspool, Warrington",250,270,260,261.1000061,5.564903499067779
1503,"Wilderspool, Warrington",170,220,195,16.5,2.803360380906535
1504,"Wilderspool, Warrington",250,270,260,200,5.298317366548036
1505,"Wilderspool, Warrington",170,220,195,450,6.1092475827643655
1506,Loushers Lane,-100,400,150,21.60000038,3.0726933322827117
1507,Middlewich,150,360,255,328.8999939,5.795753734648341
1508,Middlewich,100,360,230,133,4.890349128221754
1509,Middlewich,-100,360,130,35.40000153,3.5667118633600667
1510,"Stockton Heath, Warrington",75,275,175,155.6000061,5.047288650947375
1511,"Stockton Heath, Warrington",125,150,137.5,109.1999969,4.693181034922526
1512,"Brook House Farm, Bruen Stapleford",-170,60,-55,113.0999985,4.728272369859475
1513,"Birch Heath, Tarporley",100,200,150,34.20000076,3.5322256662907816
1514,"Birch Heath, Tarporley",100,200,150,38.5,3.6506582412937387
1515,Great Woolden Hall,-120,80,-20,128.6999969,4.857484090515056
1516,Great Woolden Hall,-120,80,-20,160.6000061,5.078916839495226
1517,Huntsham,50,337,193.5,337.8999939,5.822749975667566
1518,Huntsham,150,330,240,163.8000031,5.098646190344488
1519,Magna Castra Farm,70,300,185,41.79999924,3.732896321348892
1520,Magna Castra Farm,200,410,305,797.7000122,6.681732602211054
1521,Magna Castra Farm,70,150,110,39,3.6635616461296463
1522,"Coughton, Ross-on-Wye",175,225,200,143.1000061,4.963543729189937
1523,Meole Brace,275,350,312.5,66.5,4.197201947661808
1524,Meole Brace,150,275,212.5,56.29999924,4.030694521646533
1525,Sharpstones Hill Site E/Meole Brace,-100,50,-25,113,4.727387818712341
1526,Whitley Chapel/Weir Meadow,43,450,246.5,109,4.6913478822291435
1527,Holditch,60,275,167.5,400,5.991464547107982
1528,Holditch,60,275,167.5,42,3.7376696182833684
1529,Holditch,60,275,167.5,35,3.5553480614894135
1530,Holditch,60,275,167.5,94.90000153,4.552823721738116
1531,Holditch,60,275,167.5,36,3.58351893845611
1532,"Shenstone, Site D",1,100,50.5,176.6999969,5.174453361781791
1533,Fisherwick,100,250,175,49,3.8918202981106265
1534,Fisherwick,100,250,175,33.59999847,3.5145260214334435
1535,Hales Roman Villa,50,360,205,38.5,3.6506582412937387
1536,Hales Roman Villa,50,360,205,66.5,4.197201947661808
1537,Hales Roman Villa,50,360,205,38.5,3.6506582412937387
1538,"East of Birmingham Road Nurseries, Shenstone",150,250,200,153.8999939,5.036303001208705
1539,"Grimstock Hill, Coleshill",0,100,50,78.5,4.363098624788363
1540,"Grimstock Hill, Coleshill",0,100,50,86.59999847,4.461299797900953
1541,"Grimstock Hill, Coleshill",0,100,50,78.5,4.363098624788363
1542,"Grimstock Hill, Coleshill",0,100,50,113.0999985,4.728272369859475
1543,"Grimstock Hill, Coleshill",0,100,50,56.79999924,4.039536312346824
1544,Tiddington,1,400,200.5,165,5.10594547390058
1545,Tiddington,1,400,200.5,147,4.990432586778736
1546,Tiddington,1,400,200.5,30.299999239999998,3.411147687432815
1547,"Salford Priors, Areas C1, C2 and C3",200,400,300,105,4.653960350157523
1548,"Salford Priors, Area D",50,100,75,18.89999962,2.9391619019597766
1549,"Salford Priors, Area D",50,100,75,42,3.7376696182833684
1550,"Salford Priors, Area D",50,100,75,63.59999847,4.152613446289473
1551,Wasperton,100,650,375,78.5,4.363098624788363
1552,"Coton Park, Rugby",-100,200,50,56.79999924,4.039536312346824
1553,Tripontium,200,425,312.5,136.1999969,4.914124370954766
1554,Tiddington,200,250,225,57,4.04305126783455
1555,Tiddington,100,200,150,90,4.499809670330265
1556,"Longdales Road, King's Norton, Birmingham",175,225,200,52.79999924,3.966511176318276
1557,"Longdales Road, King's Norton, Birmingham",175,225,200,83.30000305,4.422448585787442
1558,Stonebridge Cross,-100,300,100,95,4.553876891600541
1559,Bays  Meadow Villa,286,289,287.5,220,5.393627546352362
1560,Bays  Meadow Villa,-100,0,-50,35.29999924,3.5638829424095055
1561,"Bath Road, Worcester",120,250,185,15.600000380000001,2.7472709386144656
1562,Blackstone,-100,-50,-75,22,3.091042453358316
1563,Blackstone,-100,-50,-75,21.200000760000002,3.054001217527023
1564,Blackstone,-100,-50,-75,15.899999619999999,2.7663190853268143
1565,Blackstone,-100,-50,-75,15.899999619999999,2.7663190853268143
1566,Beckford,-50,400,175,219,5.389071729816501
1567,"The Snipes, Larford Farm, Astley",150,425,287.5,29.200000760000002,3.374168735301633
1568,"Middle Hill, Cleeve Hill",-100,400,150,30,3.4011973816621555
1569,"Elm Farm, Beckford",-200,43,-78.5,132.6999969,4.888090917977197
1570,Broadway,120,140,130,65,4.174387269895637
1571,"Langeled Receiving Facilities, Easington",25,200,112.5,9.600000381,2.2617631381612897
1572,"Langeled Receiving Facilities, Easington",25,200,112.5,63.59999847,4.152613446289473
1573,"Langeled Receiving Facilities, Easington",-25,50,12.5,38.5,3.6506582412937387
1574,"Langeled Receiving Facilities, Easington",-25,50,12.5,38.5,3.6506582412937387
1575,"Langeled Receiving Facilities, Easington",25,200,112.5,38.5,3.6506582412937387
1576,"Langeled Receiving Facilities, Easington",25,200,112.5,15.100000380000001,2.7146947689864414
1577,"Langeled Receiving Facilities, Easington",25,200,112.5,38.5,3.6506582412937387
1578,"Langeled Receiving Facilities, Easington",200,300,250,19.60000038,2.9755295856242263
1579,"Langeled Receiving Facilities, Easington",25,200,112.5,78.5,4.363098624788363
1580,"Langeled Receiving Facilities, Easington",25,200,112.5,50.29999924,3.9180050619963493
1581,"Langeled Receiving Facilities, Easington",25,200,112.5,63.59999847,4.152613446289473
1582,"Langeled Receiving Facilities, Easington",200,300,250,113.0999985,4.728272369859475
1583,"Langeled Receiving Facilities, Easington",25,200,112.5,63.59999847,4.152613446289473
1584,"High Wold, Bempton Lane, Bridlington",75,250,162.5,49,3.8918202981106265
1585,"High Wold, Bempton Lane, Bridlington",75,250,162.5,95,4.553876891600541
1586,"High Wold, Bempton Lane, Bridlington",75,250,162.5,14.80000019,2.694627193607907
1587,"High Wold, Bempton Lane, Bridlington",75,250,162.5,78.5,4.363098624788363
1588,"High Wold, Bempton Lane, Bridlington",75,250,162.5,24,3.1780538303479458
1589,"High Wold, Bempton Lane, Bridlington",75,250,162.5,132.6999969,4.888090917977197
1590,"High Wold, Bempton Lane, Bridlington",75,250,162.5,23.39999962,3.1527360061243392
1591,"Low Caythorpe, gas pipeline storage facility (Area 1)",1,250,125.5,176.6999969,5.174453361781791
1592,"Low Caythorpe, gas pipeline storage facility (Area 1)",1,250,125.5,95,4.553876891600541
1593,Shiptonthorpe,388,402,395,20,2.995732273553991
1594,Shiptonthorpe,250,350,300,168,5.123963979403259
1595,Shiptonthorpe,175,200,187.5,28.299999239999998,3.342861777794068
1596,Shiptonthorpe,100,410,255,54,3.9889840465642745
1597,"Burnby Lane, Hayton",100,300,200,84,4.430816798843313
1598,"Burnby Lane, Hayton",100,300,200,50,3.912023005428146
1599,"Burnby Lane, Hayton",-100,40,-30,181.5,5.201255653704905
1600,"Burnby Lane, Hayton",-100,40,-30,18.10000038,2.895911959266255
1601,"Burnby Lane, Hayton",-100,40,-30,33.20000076,3.502549898814009
1602,"Hayton, Glen Garth",-100,100,0,19.60000038,2.9755295856242263
1603,"Hayton, Glen Garth",-100,100,0,63.59999847,4.152613446289473
1604,"Old Ellerby, Ellerby (Easington to Ganstead Plot 3)",0,200,100,52.79999924,3.966511176318276
1605,"Old Ellerby, Ellerby (Easington to Ganstead Plot 3)",0,200,100,153.8999939,5.036303001208705
1606,"Old Ellerby, Ellerby (Easington to Ganstead Plot 3)",0,200,100,122.6999969,4.809742326451992
1607,"Burton Constable, Ellerby (Easington to Ganstead Plot 9)",-100,100,0,100.3000031,4.608165725875168
1608,"Burton Constable, Ellerby (Easington to Ganstead Plot 9)",-100,50,-25,136.8999939,4.919250687736331
1609,"Burton Constable, Ellerby (Easington to Ganstead Plot 9)",-100,100,0,39.59999847,3.6788290796240704
1610,"Burton Constable, Ellerby (Easington to Ganstead Plot 9)",-100,100,0,113.0999985,4.728272369859475
1611,"Burton Constable, Ellerby (Easington to Ganstead Plot 9)",-100,100,0,153.8999939,5.036303001208705
1612,"Brandywell, Sproatley (Easington to Ganstead Plots 25 and 26)",-50,200,75,81.69999695,4.403053964534255
1613,"Brandywell, Sproatley (Easington to Ganstead Plots 25 and 26)",50,100,75,176.6999969,5.174453361781791
1614,"Brandywell, Sproatley (Easington to Ganstead Plots 25 and 26)",-50,200,75,63.59999847,4.152613446289473
1615,"Brandywell, Sproatley (Easington to Ganstead Plots 25 and 26)",-50,200,75,15.899999619999999,2.7663190853268143
1616,"Brandywell, Sproatley (Easington to Ganstead Plots 25 and 26)",100,200,150,12,2.4849066497880004
1617,"Nuttles, Burstwick (Easington to Ganstead Plot 31)",-50,300,125,63.59999847,4.152613446289473
1618,"Lelley, Burstwick (Easington to Ganstead Plot 35)",1,200,100.5,50.29999924,3.9180050619963493
1619,"Lelley, Burstwick (Easington to Ganstead Plot 35)",1,200,100.5,75.40000153,4.3228072953056875
1620,"New York, Burstwick (Easington to Ganstead Plot 36)",-50,200,75,56.79999924,4.039536312346824
1621,"New York, Burstwick (Easington to Ganstead Plot 36)",-50,200,75,56.79999924,4.039536312346824
1622,"New York, Burstwick (Easington to Ganstead Plot 36)",-50,200,75,56.79999924,4.039536312346824
1623,"New York, Burstwick (Easington to Ganstead Plot 36)",-50,200,75,23.799999239999998,3.1696855487446554
1624,"Braemere Hill, Burstwick (Easington to Ganstead Plot 47)",70,120,95,73.90000153,4.3027128486578095
1625,"Churchlands, Halsham (Easington to Ganstead Plot 68)",-50,70,10,41.90000153,3.7352858634436044
1626,"Churchlands, Halsham (Easington to Ganstead Plot 68)",-50,70,10,33.20000076,3.502549898814009
1627,Patrington (Easington to Ganstead Plot 88),1,300,150.5,59.5,4.085976312551584
1628,Patrington (Easington to Ganstead Plot 88),1,300,150.5,70.90000153,4.261270455117772
1629,Patrington (Easington to Ganstead Plot 88),1,300,150.5,73.90000153,4.3027128486578095
1630,"Bluegate Corner, Welwick (Easington to Ganstead Plot 98)",-50,400,175,28.299999239999998,3.342861777794068
1631,"Bluegate Corner, Welwick (Easington to Ganstead Plot 98)",-50,400,175,38.5,3.6506582412937387
1632,"Gilcross, Skeffling (Easington to Ganstead Plot 107)",-100,50,-25,283.5,5.647212123167807
1633,"Gilcross, Skeffling (Easington to Ganstead Plot 107)",-100,50,-25,176.6999969,5.174453361781791
1634,"Gilcross, Skeffling (Easington to Ganstead Plot 107)",-100,50,-25,227,5.424950017481403
1635,"Hull Road, Easington (Easington to Ganstead Plot 113)",-50,50,0,56.79999924,4.039536312346824
1636,"Dimlington, Easington (Easington to Ganstead Plot 115)",-50,100,25,50.29999924,3.9180050619963493
1637,"Dimlington, Easington (Easington to Ganstead Plot 115)",-50,100,25,50.29999924,3.9180050619963493
1638,"Dimlington, Easington (Easington to Ganstead Plot 115)",-50,100,25,143.1000061,4.963543729189937
1639,"Home Farm, Sewerby (Area E)",-50,150,50,27.299999239999998,3.3068866743520857
1640,"Home Farm, Sewerby (Area E)",-50,150,50,91.59999847,4.517431254977028
1641,"Home Farm, Sewerby (Area E)",-50,150,50,165.1000061,5.106551387873386
1642,"Shepherd Lane, Woodmansey (Ganstead to Asselby Plots 53 and 55)",-100,50,-25,33.20000076,3.502549898814009
1643,"Shepherd Lane, Woodmansey (Ganstead to Asselby Plots 53 and 55)",-100,50,-25,38.5,3.6506582412937387
